Category,original fluid,new fluid,original lable,new Label,Short,Unit,Normal Range
Chemistry,Pleural,Pleural Sample analysis - Whole,"Chloride, Pleural",Chloride,Chloride,milliequivalents per liter (mEq/L),95 to 105 mEq/L
Blood_GAS,Blood,Arterial blood sample analysis - whole,Oxygen,Oxygen Saturation,SpO2,percentage,95% and 100%
Blood_GAS,Blood,Arterial blood sample analysis - whole,Oxygen Saturation,Oxygen Saturation,SpO2,percentage,95% and 100%
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Chloride,Chloride,Chloride,milliequivalents per liter (mEq/L),96 to 106 mEq/L
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,"Chloride, Whole Blood",Chloride,Chloride,milliequivalents per liter (mEq/L),96 to 106 mEq/L
Hematology,Blood,Peripheral Blood Sample analysis - Hemoglobin,Hemogloblin A,Hemogloblin A,Hemogloblin A,percentage,97% to 98% of total hemoglobin
Chemistry,Ascites,Ascite Sample analysis - Whole,"Chloride, Ascites",Chloride,Chloride,milliequivalents per liter (mEq/L),98 to 106 mEq/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Treponema pallidum (Syphilis) Ab,Treponema pallidum (Syphilis) Antibody (Ab),Treponema pallidum (Syphilis) Ab,Ansent/presense,absence
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Treponema pallidum (syphilis) value,Treponema pallidum (Syphilis),Treponema pallidum (Syphilis),Ansent/presense,absence
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Lupus Anticoagulant,Lupus Anticoagulant,Lupus Anticoagulant,Bethesda Units (BU),Absence
Hematology,Urine,urine sample (random) Microscopic Examination,"Urine Crystals, Other",Other Crystals,Other Crystals,low power field (LPF) or high power field (HPF),Absence or occatsional cast per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,"Urine Casts, Other",Other Casts,Other Casts,low power field (LPF) or high power field (HPF),Absence or occatsional cast per LPF
Chemistry,Urine,urine sample (random) Substances Measurement,"Amphetamine Screen, Urine",Amphetamine,Amphetamine,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,"Barbiturate Screen, Urine",barbiturates,barbiturates,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,"Benzodiazepine Screen, Urine",Benzodiazepine,Benzodiazepine,Absent/presence,Absent
Chemistry,Urine,urine sample (24-hour) Urinalysis,Bilirubin,Bilirubin,Bilirubin,Absent/presence,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Bilirubin Crystals,Bilirubin Crystals,Bilirubin Crystals,Absent/presence,Absent
Chemistry,Urine,urine sample (random) culture test,Chlamydia trachomatis,Chlamydia trachomatis,Chlamydia trachomatis,Absent/presence,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Cholesterol Crystals,Cholesterol Crystals,Cholesterol Crystals,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,"Cocaine, Urine",Cocaine,Cocaine,Absent/presence,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Cysteine Crystals,Cysteine Crystals,Cysteine Crystals,Absent/presence,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Eosinophils,Eosinophils,Eosinophils,Absent/presence,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Epithelial Casts,Epithelial Casts,Epithelial Casts,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,"Ethanol, Urine",Ethanol,Ethanol,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,Fentanyl,Fentanyl,Fentanyl,Absent/presence,Absent
Hematology,Urine,urine sample (random) Substances Measurement,Free Fat,Free Fat,Free Fat,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,"HCG, Urine, Qualitative",Human Chorionic Gonadotropin (HCG) Hormone,HCG Hormone,Absent/presence,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Hemosiderin,Hemosiderin,Hemosiderin,Absent/presence,Absent
Hematology,Urine,urine sample (random) culture test,Hyphenated Yeast,Hyphenated Yeast,Hyphenated Yeast,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Urine Protein Electrophoresis,"Immunofixation, Urine",Immunofixation,Immunofixation,Absent/presence,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Leucine Crystals,Leucine Crystals,Leucine Crystals,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,Marijuana,Marijuana,Marijuana,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,"Methadone, Urine",Methadone,Methadone,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,"Myoglobin, Urine",Myoglobin,Myoglobin,Absent/presence,Absent
Chemistry,Urine,urine sample (random) culture test,Neisseria gonorrhoeae,Neisseria gonorrhoeae,Neisseria gonorrhoeae,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Urinalysis,Nitrite,Nitrite,Nitrite,Absent/presence,Absent
Hematology,Urine,urine sample (random) Urinalysis,Nitrite,Nitrite,Nitrite,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,"Opiate Screen, Urine",Opiate,Opiate,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,Oxycodone,Oxycodone,Oxycodone,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Substances Measurement,Porphobilinogen Screen,Porphobilinogen,PBG,Absent/presence,Absent
Chemistry,Urine,urine sample (random) Urine Protein Electrophoresis,"Prot. Electrophoresis, Urine",monoclonal proteins,M-proteins,Absent/presence,Absent
Chemistry,Urine,urine sample (random) culture test,Trichomonas vaginalis,Trichomonas vaginalis,Trichomonas vaginalis,Absent/presence,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Urine Mucous,Mucous,Mucous,Absent/presence,Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Pappenheimer Bodies,Pappenheimer Bodies,Pappenheimer Bodies,bodies per microliter of blood (bodies/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Acanthocytes,Acanthocytes,Acanthocytes,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Basophilic Stippling,Basophilic Stippling,Basophilic Stippling,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Bite Cells,Bite Cells,Bite Cells,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Blasts,Blasts,Blasts,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Blood Parasite Smear,Blood Parasite,Blood Parasite,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Echinocytes,Echinocytes,Echinocytes,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Envelope Cells,Envelope Cells,Envelope Cells,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Ovalocytes,Ovalocytes,Ovalocytes,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Pencil Cells,Pencil Cells,Pencil Cells,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Plasma Cells,Plasma Cells,Plasma Cells,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Poikilocytosis,Poikilocytosis,Poikilocytosis,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Red Blood Cell Fragments,Red Blood Cell (RBC) Fragments,RBC Fragments,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Schistocytes,Schistocytes,Schistocytes,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Sickle Cells,Sickle Cells,Sickle Cells,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Spherocytes,Spherocytes,Spherocytes,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Stomatocyte,Stomatocyte,Stomatocyte,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Target Cells,Target Cells,Target Cells,cells per microliter of blood (cells/μL),Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Teardrop Cells,Teardrop Cells,Teardrop Cells,cells per microliter of blood (cells/μL),Absent
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,"Joint Crystals, Birefringence",Joint Crystals,Joint Crystals,Qualitative,Absent
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,"Joint Crystals, Comment",Joint Crystals,Joint Crystals,Qualitative,Absent
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,"Joint Crystals, Location",Joint Crystals,Joint Crystals,Qualitative,Absent
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,"Joint Crystals, Number",Joint Crystals,Joint Crystals,Qualitative,Absent
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,"Joint Crystals, Shape",Joint Crystals,Joint Crystals,Qualitative,Absent
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Platelet Clumps,Platelet Clumps,Platelet Clumps,Qualitative,Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,RBC Morphology,Red Blood Cells (RBC) Morphology,RBC Morphology,Qualitative,Absent
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Rouleaux,Rouleaux,Rouleaux,Qualitative,Absent
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,ANCA Titer,anti-neutrophil cytoplasmic antibodies (ANCA) Titer,ANCA Titer,reciprocal dilutions,Absent
Hematology,Urine,urine sample (random) Microscopic Examination,Fatty Casts,Fatty Casts,Fatty Casts,low power field (LPF) or high power field (HPF),absent of any fatty casts per low power field (LPF)
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Heinz Body Prep,Heinz Body Prep,Heinz Body Prep,percentage,Absent of Heinz bodies
Chemistry,Urine,urine sample (24-hour) analysis,Creatinine Clearance,Creatinine Clearance,Creatinine Clearance,milliliters per minute (mL/min),"Adult males: Approximately 97 to 137 mL/min
Adult females: Approximately 88 to 128 mL/min"
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,"Hemoglobin, Calculated",Hemoglobin,Hemoglobin,grams per deciliter (g/dL),"Adult Men: Approximately 13.8 to 17.2 g/dL
Adult Women: Approximately 12.1 to 15.1 g/dL"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Cholesterol Ratio (Total/HDL),Cholesterol Total/Cholesterol High Density Lipoprotein,Cholesterol Total/Cholesterol HDL,Ratio,below 5
Hematology,Ascites,Ascite Sample analysis - Whole,"Total Nucleated Cells, Ascites",Nucleated Cells,Nucleated Cells,cells per microliter (cells/μL),below 500 cells/µL in whole ascite sample
Hematology,Urine,urine sample (random) Urinalysis,Urine Appearance,Appearance,Appearance,Qualitative,Clear to slightly yellow
Hematology,Ascites,Ascite Sample analysis - Whole,"Hematocrit, Ascites",Hematocrit,Hematocrit,percentage,close to 0% in whole ascite sample
Hematology,Other Body Fluid,Other Body Fluid Analysis,"RBC, Other Fluid",Red Blood Cells (RBCs),RBCs,cells per microliter (cells/µL),Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,"Total Nucleated Cells, Other","Nucleated Cells, Total","Nucleated Cells, Total",cells per microliter (cells/µL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Albumin, Body Fluid",Albumin,Albumin,grams per deciliter (g/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Total Protein, Body Fluid","Protein, Total","Protein, Total",grams per deciliter (g/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Amylase, Body Fluid",Amylase,Amylase,International Units per liter (IU/L),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"LD, Body Fluid",lactate dehydrogenase (LD),LD,International Units per liter (IU/L),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Bicarbonate, Other Fluid",Bicarbonate,Bicarbonate,milliequivalents per liter (mEq/L),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Chloride, Body Fluid",Chloride,Chloride,milliequivalents per liter (mEq/L),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Potassium, Body Fluid",Potassium,Potassium,milliequivalents per liter (mEq/L),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Sodium, Body Fluid",Sodium,Sodium,milliequivalents per liter (mEq/L),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Bilirubin, Total, Body Fluid","Bilirubin, Total","Bilirubin, Total",milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Calcium, Body Fluid",Calcium,Calcium,milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Cholesterol, Body Fluid",Cholesterol,Cholesterol,milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Creatinine, Body Fluid",Creatinine,Creatinine,milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Glucose, Body Fluid",Glucose,Glucose,milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Magnesium, Body Fluid",Magnesium,Magnesium,milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Phosphate, Body Fluid",Phosphate,Phosphate,milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,Triglycer,Triglycer,Triglycer,milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Urea Nitrogen, Body Fluid",Urea Nitrogen,Urea Nitrogen,milligrams per deciliter (mg/dL),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,Surfactant/Albumin,Surfactant/Albumin ratio,Surfactant/Albumin,milligrams per gram (mg/g),Dependency on the type of body fluid.
Blood_GAS,Other Body Fluid,Other Body Fluid Analysis,"pCO2, Body Fluid",partial pressure of carbon dioxide in arterial blood,PaCO2,Millimeters of mercury (mmHg),Dependency on the type of body fluid.
Blood_GAS,Other Body Fluid,Other Body Fluid Analysis,"pO2, Body Fluid",partial pressure of oxygen in arterial blood,PaO2,Millimeters of mercury (mmHg),Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Osmolality, Body Fluid",Osmolality,Osmolality,milliosmoles per kilogram (mOsm/kg),Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Atypical Lymphocytes,Atypical Lymphocytes,Atypical Lymphocytes,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Bands,Bands,Bands,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Basophils,Basophils,Basophils,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Blasts,Blasts,Blasts,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Eosinophils,Eosinophils,Eosinophils,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,"Hematocrit, Other Fluid",Hematocrit,Hematocrit,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Hypersegmented Neutrophils,Hypersegmented Neutrophils,Hypersegmented Neutrophils,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Lining Cell,Lining Cell,Lining Cell,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Lymphocytes,Lymphocytes,Lymphocytes,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Macrophage,Macrophage,Macrophage,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Mesothelial cells,Mesothelial cells,Mesothelial cells,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Metamyelocytes,Metamyelocytes,Metamyelocytes,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Monos,Monos,Monos,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Myelocytes,Myelocytes,Myelocytes,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,NRBC,Nucleated Red Blood Cells,NRBC,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Other Cell,Other Cell,Other Cell,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Plasma,Plasma,Plasma,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Polys,Polys,Polys,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Promyelocytes,Promyelocytes,Promyelocytes,percentage,Dependency on the type of body fluid.
Hematology,Other Body Fluid,Other Body Fluid Analysis,Young,Young Cells,Young,percentage,Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,Chlamydia trachomatis,Chlamydia trachomatis,Chlamydia trachomatis,Qualitative,Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,Neisseria gonorrhoeae,Neisseria gonorrhoeae,Neisseria gonorrhoeae,Qualitative,Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,Trichomonas vaginalis,Trichomonas vaginalis,Trichomonas vaginalis,Qualitative,Dependency on the type of body fluid.
Blood_GAS,Other Body Fluid,Other Body Fluid Analysis,pH,potential of hydrogen,pH,unit,Dependency on the type of body fluid.
Chemistry,Other Body Fluid,Other Body Fluid Analysis,"Lipase, Body Fluid",Lipase,Lipase,units per liter (U/L),Dependency on the type of body fluid.
Hematology,Ascites,Ascite Sample analysis - Whole,Plasma,Plasma Cells,Plasma Cells,percentage,ess than 1% of the total white blood cell
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,Glucose,Glucose,Glucose,milligrams per deciliter (mg/dL),"Fasting: 70 to 100 mg/dL
Postprandial (after eating): Less than 140 mg/dL"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Glucose,Glucose,Glucose,milligrams per deciliter (mg/dL),"Fasting: 70 to 100 mg/dL
Postprandial (after eating): Less than 140 mg/dL"
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Hypersegmented Neutrophils,Hypersegmented Neutrophils,Hypersegmented Neutrophils,percentage,fewer than 5%
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,Hematocrit,Hematocrit,Hematocrit,percentage,"For adult males: 40% to 54%
For adult females: 36% to 48%"
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Hematocrit,Hematocrit,Hematocrit,percentage,"For adult males: 40% to 54%
For adult females: 36% to 48%"
Blood_GAS,Blood,Peripheral Blood Sample analysis - Whole,"Hematocrit, Calculated",Hematocrit,Hematocrit,percentage,"For adult males: 40% to 54%
For adult females: 36% to 48%"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Luteinizing Hormone,Luteinizing Hormone,Luteinizing Hormone,international units per liter (mIU/mL),"For females:
Follicular phase: 2-10 mIU/mL
Mid-cycle peak (ovulation): 25-40 mIU/mL
Luteal phase: 2-10 mIU/mL
For males: 1-9 mIU/mL"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Ferritin,Ferritin,Ferritin,nanograms per milliliter (ng/mL),"For men: 20-500 ng/mL
For women: 20-200 ng/mL"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Gamma Glutamyltransferase,Gamma Glutamyltransferase,Gamma Glutamyltransferase,units per liter (U/L),"For men: 9 to 48 U/L
For women: 7 to 32 U/L"
Blood_GAS,Blood,Arterial blood sample analysis - hemoglobin,Carboxyhemoglobin,Carboxyhemoglobin,COHb,percentage,"For non-smokers, less than 1.5%.
For smokers, less than 5-10%."
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Estradiol,Estradiol,Estradiol,picogram per mililiter (pg/mL),"For women, 30 to 400 pg/mL
For men, 10 to 50 pg/mL
For postmenopausal women, below 30 pg/mL"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Follicle Stimulating Hormone,Follicle Stimulating Hormone,Follicle Stimulating Hormone,milli-international units per milliliter (mIU/mL),"For women, normal FSH levels vary based on menstrual cycle phase: 1.7 to 7.7 mIU/mL (follicular phase), 4.5 to 21.5 mIU/mL (ovulatory peak), and 1.0 to 9.5 mIU/mL (luteal phase). Postmenopausal women typically have higher levels, ranging from 25.8 to 134.8 mIU/mL.
For men, normal levels are typically between 1.5 and 12.4 mIU/mL."
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Rubella IgG Ab,Rubella (RUB) Virus Immunoglobulin G (IgG) Antibody (Ab),Rubella V IgG Ab,international units per milliliter (IU/mL),greater than 10 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,RUBIgGV,Rubella (RUB) Virus Immunoglobulin G (IgG) Antibody (Ab),Rubella V IgG Ab,international units per milliliter (IU/mL),greater than 10 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Rubeola IgG Ab,Rubeola (RUB) Virus Immunoglobulin G (IgG) Antibody (Ab),Rubeola V IgG Ab,international units per milliliter (IU/mL),greater than 15 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Rubeola IgG Ab Value,Rubeola (RUB) Virus Immunoglobulin G (IgG) Antibody (Ab),Rubeola V IgG Ab,international units per milliliter (IU/mL),greater than 15 IU/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Folate,Folate,Folate,nanograms per milliliter (ng/mL),greater than 3 ng/mL
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,Estimated GFR (MDRD equation),estimated glomerular filtration rate (eGFR) Modification of Diet in Renal Disease (MDRD) equation,eGFR (MDRD equation),milliliters per minute persquare meters (mL/min/1.73 m²),Greater than 90 mL/min/1.73 m²
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Estimated GFR (MDRD equation),estimated glomerular filtration rate (eGFR) Modification of Diet in Renal Disease (MDRD) equation,eGFR (MDRD equation),milliliters per minute persquare meters (mL/min/1.73 m²),Greater than 90 mL/min/1.73 m²
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Osmotic Fragility,Osmotic Fragility,Osmotic Fragility,percentage,"Increased fragility,"
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Bleeding Time,Bleeding Time,Bleeding Time,minutes,"Ivy method: 4-9 minutes
Duke method: 1-6 minutes"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Troponin I,Troponin Inhibitory (I),Troponin I,nanograms per milliliter (ng/mL),less than 0.04 ng/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Cryoglobulin,Cryoglobulin,Cryoglobulin,milligrams per deciliter (mg/dL),less than 0.05 g/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Methotrexate,Methotrexate,Methotrexate,micromoles per liter (μmol/L),less than 0.05 μmol/L for low-dose therapy
Chemistry,Urine,urine sample (24-hour) analysis,Protein/Creatinine Ratio,Protein/Creatinine,Protein/Creatinine,grams per gram (g/g),Less than 0.2 g/g
Chemistry,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,"Bilirubin, Total, CSF","Bilirubin, Total","Bilirubin, Total",milligrams per deciliter (mg/dL),less than 0.5 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,Acetone,Acetone,Acetone,millimoles per liter (mmol/L),less than 0.5 mmol/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,D-Dimer,D-Dimer,D-Dimer,micrograms per milliliter (μg/mL),less than 0.5 μg/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Fibrin Degradation Products,Fibrin Degradation Products,Fibrin Degradation Products,micrograms per milliliter (µg/mL),less than 0.5 µg/mL
Hematology,Pleural,Pleural Sample analysis - Whole,"RBC, Pleural",Red Blood Cells (RBCs),RBCs,cells per microliter (cells/μL),less than 1 million cells/μL of the whole Pleural sample
Hematology,Urine,urine sample (random) Microscopic Examination,Calcium Carbonate Crystals,Calcium Carbonate Crystals,Calcium Carbonate Crystals,low power field (LPF) or high power field (HPF),less than 1 per HPF
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Fragmented Cells,Fragmented Cells,Fragmented Cells,percentage,less than 1% of red blood cells
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Basophils,Basophils,Basophils,percentage,less than 1% of the total white blood cell
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Eosinophils,Eosinophils,Eosinophils,percentage,less than 1% of the total white blood cell
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Eosinophils,Eosinophils,Eosinophils,percentage,less than 1% of the total white blood cell count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Basophils,Basophils,Basophils,percentage,less than 1% of the total white blood cell count.
Hematology,Pleural,Pleural Sample analysis - Whole,"Hematocrit, Pleural",Hematocrit,Hematocrit,percentage,less than 1% of the total whole Pleural sample
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,C-Reactive Protein,C-Reactive Protein (CRP),CRP,milligrams per liter (mg/L),less than 10 mg/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Alpha-Fetoprotein,Alpha-Fetoprotein (AFP),AFP,nanograms per milliliter (ng/mL),less than 10 ng/mL
Hematology,Ascites,Bone Marrow Sample analysis - Nucleated Cells,Metamyelocytes,Metamyelocytes,Metamyelocytes,percentage,less than 10% of nucleated cells
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Bands,Bands,Bands,percentage,less than 10% of the total white blood cell
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Bands,Bands,Bands,percentage,less than 10% of the total white blood cell count.
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Cholesterol, LDL, Measured","Cholesterol, Low-Density Lipoprotein (LDL), Measured","Cholesterol, LDL, Measured",milligrams per deciliter (mg/dL),less than 100 mg/dL
Chemistry,Pleural,Pleural Sample analysis - Whole,"proBNP, Pleural",proBNP,proBNP,picograms per milliliter (pg/mL),less than 100 pg/mL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Epinepherine,Epinepherine,Epinepherine,picograms per milliliter (pg/mL),less than 100 pg/mL (picograms per milliliter)
Hematology,Urine,urine sample (random) Culture test,Bacteria,Bacteria,Bacteria,milliliter of a single type of bacteria,"less than 100,000 colony forming units (CFU) per milliliter of a single type of bacteria"
Chemistry,Urine,urine sample (random) Urinalysis,"Glucose, Urine",Glucose,Glucose,milligrams per deciliter (mg/dL),less than 1000 mg/dL
